Rank,price,propertyAddress,typeOfProperty,noOfBeds,foundFloorPlanImage,mapLocation,area,priceRank,areaRank,roomRank,Rank Sum,NW,£/m2
205,625000,"Park Road, Hendon, London, NW4",Terraced,3,https://media.rightmove.co.uk/dir/66k/65616/127526075/65616_ph8og049_EAF_101344_FLP_00_0001.jpeg,https://www.rightmove.co.uk/properties/127526075#/map?channel=RES_BUY,1054,321,198,82,601,TRUE,592.9791271
206,550000,Solway Road N22,End of Terrace,3,https://media.rightmove.co.uk/dir/135k/134441/120631163/134441_atlantic_1639498200_FLP_00_0000.png,https://www.rightmove.co.uk/properties/120631163#/map?channel=RES_BUY,877,180,340.5,82,602.5,FALSE,
207,650000,"Clyde Road, London, N15",Terraced,3,https://media.rightmove.co.uk/dir/37k/36308/128658722/36308_HAR210619_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128658722#/map?channel=RES_BUY,1179,401,120.5,82,603.5,FALSE,
208,625000,"Moxon Street, Barnet",Terraced,3,https://media.rightmove.co.uk/dir/2k/1950/126416363/1950_WTS105910_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126416363#/map?channel=RES_BUY,1049,321,201,82,604,FALSE,
209,650000,"Johns Avenue, Hendon",Terraced,3,https://media.rightmove.co.uk/dir/45k/44870/123412463/44870_31497767_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/123412463#/map?channel=RES_BUY,1178,401,122,82,605,FALSE,551.7826825
210,580000,"High Barnet, Barnet, EN5",End of Terrace,3,https://media.rightmove.co.uk/dir/50k/49431/122304821/49431_4469053_FLP_00_0001.png,https://www.rightmove.co.uk/properties/122304821#/map?channel=RES_BUY,955,241,284,82,607,FALSE,607.3298429
211,625000,"The Fairway, Palmers Green, London N13",Semi-Detached,3,https://media.rightmove.co.uk/dir/117k/116041/128055215/116041_11741373_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128055215#/map?channel=RES_BUY,1043,321,204,82,607,FALSE,599.2329818
212,625000,"The Fairway, Palmers Green, N13",Semi-Detached,3,https://media.rightmove.co.uk/dir/91k/90731/127058489/90731_ALEXM_003419_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127058489#/map?channel=RES_BUY,1043,321,204,82,607,FALSE,599.2329818
213,550000,"Great Cambridge Road, N18",Flat,2,https://media.rightmove.co.uk/dir/51k/50974/125746718/50974_FCSale53_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125746718#/map?channel=RES_BUY,1610,180,11,418,609,FALSE,
214,435000,"Hythe Close, London",Terraced,3,https://media.rightmove.co.uk/dir/12k/11461/128209274/11461_0142_HRT014212424_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128209274#/map?channel=RES_BUY,374,39,489,82,610,FALSE,
215,637000,"Birkbeck Road, Enfield",Semi-Detached,3,https://media.rightmove.co.uk/dir/4k/3843/126350462/3843_ENF103278_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126350462#/map?channel=RES_BUY,1086,349.5,180,82,611.5,FALSE,586.5561694
216,550000,"Countisbury Avenue, Enfield, EN1 ",Semi-Detached,3,https://media.rightmove.co.uk/dir/25k/24386/128351525/24386_11750941_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128351525#/map?channel=RES_BUY,860,180,351,82,613,FALSE,639.5348837
217,685000,"Great North Road, New Barnet, Barnet, EN5",Semi-Detached,4,https://media.rightmove.co.uk/dir/14k/13108/127176950/13108_WHT210094_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127176950#/map?channel=RES_BUY,1179,485,120.5,9,614.5,FALSE,
218,625000,"Stanhope Road, Barnet",Semi-Detached,3,https://media.rightmove.co.uk/dir/26k/25740/122668910/25740_31439002_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/122668910#/map?channel=RES_BUY,1040,321,211.5,82,614.5,FALSE,600.9615385
219,625000,"Stag Lane, London, NW9",Semi-Detached,3,https://media.rightmove.co.uk/dir/112k/111497/128311508/111497_25421143_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128311508#/map?channel=RES_BUY,1036,321,214.5,82,617.5,TRUE,603.2818533
220,575000,"Tadworth Road, Neasden",Terraced,3,https://media.rightmove.co.uk/dir/50k/49744/127564568/49744_31831646_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127564568#/map?channel=RES_BUY,923,222.5,314,82,618.5,FALSE,622.9685807
221,650000,"Tottenhall Road, N13 6HY",House,3,https://media.rightmove.co.uk/dir/165k/164045/127243445/164045_31807571_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127243445#/map?channel=RES_BUY,1144,401,138.5,82,621.5,FALSE,568.1818182
222,450000,"Long Field, Colindale, NW9",Terraced,3,https://media.rightmove.co.uk/dir/163k/162890/127535018/162890_ANDER_003073_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127535018#/map?channel=RES_BUY,391,52.5,487.5,82,622,TRUE,1150.895141
223,650000,"Osidge Lane, Southgate",Terraced,3,https://media.rightmove.co.uk/dir/56k/55531/127857740/55531_2270917_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127857740#/map?channel=RES_BUY,1140,401,142,82,625,FALSE,
224,400000,"Haselbury Road, Edmonton, N18",Terraced,3,https://media.rightmove.co.uk/dir/7k/6550/128337971/6550_31891796_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128337971#/map?channel=RES_BUY,0,18.5,524.5,82,625,FALSE,
225,699950,"Somerset Road, Hendon, London NW4 4EL",Terraced,4,https://media.rightmove.co.uk/dir/20k/19416/124755410/19416_103014005982_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/124755410#/map?channel=RES_BUY,1187,499.5,117,9,625.5,TRUE,589.6798652
226,599950,"West Way, London, NW10",Terraced,3,https://media.rightmove.co.uk/dir/11k/10007/124092407/10007_24606667_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/124092407#/map?channel=RES_BUY,959,264,280,82,626,TRUE,625.5995829
227,575000,"Tadworth Road, London, NW2",Terraced,3,https://media.rightmove.co.uk/dir/11k/10007/127610654/10007_25416162_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127610654#/map?channel=RES_BUY,904,222.5,323,82,627.5,TRUE,636.0619469
228,670000,"Ranelagh Road, London, N17",Terraced,3,https://media.rightmove.co.uk/dir/37k/36308/127184444/36308_HAR210501_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127184444#/map?channel=RES_BUY,1223,441,106,82,629,FALSE,
229,485000,"Wilbury Way, Edmonton, London N18",House,3,https://media.rightmove.co.uk/dir/10k/9316/128213165/9316_31882576_FLP_00_0000.png,https://www.rightmove.co.uk/properties/128213165#/map?channel=RES_BUY,646,95.5,453.5,82,631,FALSE,
230,699950,"Somerset Road, Hendon NW4",House,4,https://media.rightmove.co.uk/dir/47k/46965/127690772/46965_52238_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127690772#/map?channel=RES_BUY,1170,499.5,123,9,631.5,TRUE,598.2478632
231,650000,"Aboyne Road, Kingsbury, London",Semi-Detached,3,https://media.rightmove.co.uk/dir/244k/243590/85855275/243590_Zjosephproperty0000195402_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/85855275#/map?channel=RES_BUY,1128,401,149.5,82,632.5,FALSE,
232,675000,"Dongola Road, London, N17",House,3,https://media.rightmove.co.uk/dir/7k/6608/128315291/6608_25493536_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128315291#/map?channel=RES_BUY,1244,458,95.5,82,635.5,FALSE,
233,525000,"Homefield Road, Edgware, HA8",Terraced,3,https://media.rightmove.co.uk/dir/61k/60450/128252771/60450_PRSIS_001125_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128252771#/map?channel=RES_BUY,747,142,412.5,82,636.5,FALSE,
234,650000,"Hedge Lane, Palmers Green, London, N13",Terraced,3,https://media.rightmove.co.uk/dir/31k/30656/127780382/30656_PAG220277_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127780382#/map?channel=RES_BUY,1119,401,154,82,637,FALSE,580.8757819
235,675000,"Boundary Road, Turnpike Lane, N22",Terraced,4,https://media.rightmove.co.uk/dir/152k/151079/73849047/151079_995036-1_FLP_01_0000.jpg,https://www.rightmove.co.uk/properties/73849047#/map?channel=RES_BUY,1098,458,171,9,638,FALSE,
236,650000,"Avondale Road, Harringay, N15",Terraced,3,https://media.rightmove.co.uk/dir/33k/32061/124872407/32061_PSR220210_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/124872407#/map?channel=RES_BUY,1115,401,157,82,640,FALSE,
237,575000,"Manor Cottages Approach, London",Terraced,3,https://media.rightmove.co.uk/dir/13k/12569/125755871/12569_31699863_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125755871#/map?channel=RES_BUY,883,222.5,337.5,82,642,FALSE,
238,475000,"Northern Avenue, Edmonton, London N9",Semi-Detached,3,https://media.rightmove.co.uk/dir/10k/9316/128141042/9316_31876835_FLP_00_0000.png,https://www.rightmove.co.uk/properties/128141042#/map?channel=RES_BUY,486,83.5,480,82,645.5,FALSE,977.3662551
239,685000,"Gordon Hill, Enfield",End of Terrace,3,https://media.rightmove.co.uk/dir/110k/109898/128098361/109898_31871437_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128098361#/map?channel=RES_BUY,1271,485,80.5,82,647.5,FALSE,538.945712
240,560000,"Chailey Avenue, Enfield, Middlesex, EN1",Terraced,3,https://media.rightmove.co.uk/dir/6k/5921/124043618/5921_HKE220084_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/124043618#/map?channel=RES_BUY,834,197.5,368.5,82,648,FALSE,671.4628297
241,550000,"Greenway Close, NW9",Semi-Detached,3,https://media.rightmove.co.uk/dir/12k/11432/127495994/11432_0025_HRT002509861_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127495994#/map?channel=RES_BUY,797,180,386.5,82,648.5,TRUE,690.0878294
242,625000,"Warren Road, London, NW2",Terraced,3,https://media.rightmove.co.uk/dir/11k/10007/125211083/10007_24975371_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125211083#/map?channel=RES_BUY,993,321,246,82,649,TRUE,629.4058409
243,650000,"Chipstead Gardens, London, NW2",Terraced,3,https://media.rightmove.co.uk/dir/11k/10007/127736789/10007_25430521_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127736789#/map?channel=RES_BUY,1101,401,168,82,651,TRUE,590.3723887
244,650000,"Drayton Road, Harlesden, London, NW10",Terraced,3,https://media.rightmove.co.uk/dir/205k/204995/85361163/204995_CSG220594_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/85361163#/map?channel=RES_BUY,1100,401,169,82,652,TRUE,590.9090909
245,585000,"Tadworth Road, London, NW2",Terraced,3,https://media.rightmove.co.uk/dir/11k/10007/128376827/10007_25502936_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128376827#/map?channel=RES_BUY,905,249,321,82,652,TRUE,646.4088398
246,700000,"Redfern Road, Harlesden, London NW10",Terraced,4,https://media.rightmove.co.uk/dir/238k/237482/127318982/237482_hilton_1375989746_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127318982#/map?channel=RES_BUY,1207,531.5,112.5,9,653,TRUE,579.95029
247,550000,"Gorleston Road, London, N15",Terraced,3,https://media.rightmove.co.uk/dir/33k/32061/128376635/32061_PSR220259_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128376635#/map?channel=RES_BUY,784,180,391.5,82,653.5,FALSE,
248,680000,"Well Road, Barnet",End of Terrace,3,https://media.rightmove.co.uk/dir/73k/72792/122933057/72792_103482000581_FLP_00_0000.png,https://www.rightmove.co.uk/properties/122933057#/map?channel=RES_BUY,1248,478.5,94,82,654.5,FALSE,
249,575000,"East Crescent, London",Semi-Detached,3,https://media.rightmove.co.uk/dir/2k/1921/126083159/1921_NFY106685_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126083159#/map?channel=RES_BUY,858,222.5,353,82,657.5,FALSE,670.1631702
250,450000,"Galliard Road, Edmonton, N9",Semi-Detached,2,https://media.rightmove.co.uk/dir/7k/6550/127872713/6550_31852640_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127872713#/map?channel=RES_BUY,1078,52.5,188,418,658.5,FALSE,
251,450000,"Aitken Road, Barnet",Terraced,3,https://media.rightmove.co.uk/dir/13k/12955/127899062/12955_11704959_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127899062#/map?channel=RES_BUY,0,52.5,524.5,82,659,FALSE,#DIV/0!
252,675000,"Chase Green Avenue, Enfield",Terraced,3,https://media.rightmove.co.uk/dir/4k/3843/126991223/3843_ENF103270_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126991223#/map?channel=RES_BUY,1180,458,119,82,659,FALSE,572.0338983
253,695000,"Links View, Finchley, London, N3",End of Terrace,3,https://media.rightmove.co.uk/dir/40k/39740/123396464/39740_FIN210355_FLP_00_0001.jpeg,https://www.rightmove.co.uk/properties/123396464#/map?channel=RES_BUY,1266,492,86,82,660,FALSE,
254,575000,"Galsworthy Road, Cricklewood",House,3,https://media.rightmove.co.uk/dir/73k/72541/96626269/72541_31531155_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/96626269#/map?channel=RES_BUY,854,222.5,356,82,660.5,FALSE,
255,635000,"Bittacy Rise, Mill Hill, London, NW7",Semi-Detached,3,https://media.rightmove.co.uk/dir/8k/7313/127086800/7313_MIH220065_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127086800#/map?channel=RES_BUY,1004,344.5,237,82,663.5,TRUE,632.4701195
256,650000,"Cottage Walk, London",Terraced,3,https://media.rightmove.co.uk/dir/81k/80278/85300485/80278_0334_FJL033405365_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/85300485#/map?channel=RES_BUY,1085,401,182.5,82,665.5,FALSE,
257,650000,"Stuart Crescent, Wood Green",Apartment,3,https://media.rightmove.co.uk/dir/32k/31274/125256920/31274_102951004668_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125256920#/map?channel=RES_BUY,1085,401,182.5,82,665.5,FALSE,599.078341
258,700000,"Avondale Road, Finchley, N3",Terraced,3,https://media.rightmove.co.uk/dir/36k/35948/127822364/35948_4717344_FLP_00_0000.png,https://www.rightmove.co.uk/properties/127822364#/map?channel=RES_BUY,1324,531.5,53,82,666.5,FALSE,
259,575000,"Montrose Avenue, Edgware",Semi-Detached,3,https://media.rightmove.co.uk/dir/18k/17295/124374104/17295_11468337_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/124374104#/map?channel=RES_BUY,834,222.5,368.5,82,673,FALSE,689.4484412
260,600000,"Kenwyn Drive, London, NW2",Terraced,3,https://media.rightmove.co.uk/dir/11k/10007/124092290/10007_24605566_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/124092290#/map?channel=RES_BUY,929,283.5,308,82,673.5,TRUE,645.8557589
261,600000,"Tintern Avenue, London, NW9",Semi-Detached,3,https://media.rightmove.co.uk/dir/66k/65598/128190650/65598_KBS220470_FLP_00_0000.png,https://www.rightmove.co.uk/properties/128190650#/map?channel=RES_BUY,929,283.5,308,82,673.5,TRUE,645.8557589
262,700000,"Long Lane, East Finchley, N2",Terraced,4,https://media.rightmove.co.uk/dir/138k/137693/126254801/137693_102397005770_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126254801#/map?channel=RES_BUY,1149,531.5,135,9,675.5,FALSE,
263,599950,"Warren Road, London, NW2",Terraced,3,https://media.rightmove.co.uk/dir/11k/10007/125144855/10007_24965857_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125144855#/map?channel=RES_BUY,898,264,330,82,676,TRUE,668.0957684
264,675000,"Roe Lane, London, NW9",Semi-Detached,3,https://media.rightmove.co.uk/dir/66k/65598/128513567/65598_KBS220425_FLP_00_0000.png,https://www.rightmove.co.uk/properties/128513567#/map?channel=RES_BUY,1144,458,138.5,82,678.5,TRUE,590.034965
265,585000,"Mafeking Road, Tottenham",Terraced,3,https://media.rightmove.co.uk/dir/25k/24404/123734603/24404_11521704_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/123734603#/map?channel=RES_BUY,866,249,347.5,82,678.5,FALSE,675.5196305
266,700000,"Brookhill Road, Barnet, EN4",End of Terrace,3,https://media.rightmove.co.uk/dir/57k/56523/127497836/56523_BDC220788_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127497836#/map?channel=RES_BUY,1303,531.5,65.5,82,679,FALSE,537.2217959
267,580000,"Crescent Road, Crouch End",Apartment,3,https://media.rightmove.co.uk/dir/2k/1919/127384388/1919_MUH105057_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127384388#/map?channel=RES_BUY,854,241,356,82,679,FALSE,679.1569087
268,474995,"Raynham Avenue, London",House,3,https://media.rightmove.co.uk/dir/12k/11773/126770876/11773_MAS1002089_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126770876#/map?channel=RES_BUY,0,73,524.5,82,679.5,FALSE,#DIV/0!
269,670000,"Dollis Park, Finchley, N3",Flat,3,https://media.rightmove.co.uk/dir/36k/35948/126312011/35948_4641653_FLP_00_0000.png,https://www.rightmove.co.uk/properties/126312011#/map?channel=RES_BUY,1114,441,158,82,681,FALSE,
270,640000,"Trent Gardens, London, N14",Terraced,3,https://media.rightmove.co.uk/dir/1k/581/128001023/581_SOC220137_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128001023#/map?channel=RES_BUY,998,356.5,243.5,82,682,FALSE,641.2825651
271,550000,"Connaught Avenue, Enfield, EN1",End of Terrace,3,https://media.rightmove.co.uk/dir/76k/75811/124804727/75811_ENI220069_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/124804727#/map?channel=RES_BUY,732,180,420.5,82,682.5,FALSE,751.3661202
272,643000,"Halstead Gardens, Winchmore Hill, London",End of Terrace,3,https://media.rightmove.co.uk/dir/41k/40157/128187176/40157_31880540_FLP_00_0001.jpeg,https://www.rightmove.co.uk/properties/128187176#/map?channel=RES_BUY,993,359,246,82,687,FALSE,647.5327291
273,635000,Chatsworth Drive,End of Terrace,3,https://media.rightmove.co.uk/dir/239k/238265/128383829/238265_S144571_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128383829#/map?channel=RES_BUY,981,344.5,260.5,82,687,FALSE,
274,700000,"Arcadian Gardens, London, N22",Terraced,3,https://media.rightmove.co.uk/dir/222k/221111/125316062/221111_ALP220154_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125316062#/map?channel=RES_BUY,1285,531.5,74,82,687.5,FALSE,544.7470817
275,700000,"Betstyle Road, London, N11",Terraced,3,https://media.rightmove.co.uk/dir/38k/37065/127546787/37065_ARG220596_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127546787#/map?channel=RES_BUY,1285,531.5,74,82,687.5,FALSE,
276,400000,"Cornwallis Road, London, N9",Terraced,2,https://media.rightmove.co.uk/dir/94k/93001/123298790/93001_EEA220209_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/123298790#/map?channel=RES_BUY,988,18.5,252.5,418,689,TRUE,404.8582996
277,599050,"Woolmead Avenue, Hendon, NW9",Semi-Detached,3,https://media.rightmove.co.uk/dir/204k/203015/125033171/203015_1346793-1_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125033171#/map?channel=RES_BUY,867,261,346,82,689,TRUE,690.9457901
278,475000,"North Circular Road, Palmers Green, London N13",End of Terrace,3,https://media.rightmove.co.uk/dir/10k/9316/124038203/9316_31576715_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/124038203#/map?channel=RES_BUY,0,83.5,524.5,82,690,FALSE,#DIV/0!
279,430000,"Huxley Road, London, N18",Terraced,2,https://media.rightmove.co.uk/dir/244k/243608/123204302/243608_HSS222110_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/123204302#/map?channel=RES_BUY,1000,34.5,240.5,418,693,FALSE,
280,575000,"Tintern Avenue, London, NW9",Semi-Detached,3,https://media.rightmove.co.uk/dir/66k/65598/128339900/65598_KBS220424_FLP_00_0000.png,https://www.rightmove.co.uk/properties/128339900#/map?channel=RES_BUY,784,222.5,391.5,82,696,TRUE,733.4183673
281,675000,"Rushdene Avenue, Barnet, EN4",End of Terrace,3,https://media.rightmove.co.uk/dir/14k/13108/127529222/13108_BAR220053_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127529222#/map?channel=RES_BUY,1112.8,458,159,82,699,FALSE,606.5780014
282,525000,"Goldsmith Avenue, Kingsbury, NW9",Terraced,3,https://media.rightmove.co.uk/dir/163k/162890/125447426/162890_ANDER_003030_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125447426#/map?channel=RES_BUY,506,142,477,82,701,TRUE,1037.549407
283,700000,"Bowes Road, London, N11",Terraced,3,https://media.rightmove.co.uk/dir/59k/58120/127530548/58120_PGN220247_FLP_00_0001.jpeg,https://www.rightmove.co.uk/properties/127530548#/map?channel=RES_BUY,1261,531.5,88,82,701.5,FALSE,
284,630000,"Edgware, Middlesex, HA8",Terraced,3,https://media.rightmove.co.uk/dir/31k/30482/128194046/30482_4733720_FLP_00_0000.png,https://www.rightmove.co.uk/properties/128194046#/map?channel=RES_BUY,956,337.5,283,82,702.5,FALSE,
285,650000,"Daneland, East Barnet, EN4",End of Terrace,3,https://media.rightmove.co.uk/dir/93k/92693/128643935/92693_POB-1HP913P1JPX_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128643935#/map?channel=RES_BUY,1029,401,221,82,704,FALSE,631.6812439
286,685000,"Dene Road, New Southgate, N11",Semi-Detached,3,https://media.rightmove.co.uk/dir/1k/595/127028267/595_WHS220318_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127028267#/map?channel=RES_BUY,1146,485,137,82,704,FALSE,597.7312391
287,650000,"Petworth Road, London",End of Terrace,3,https://media.rightmove.co.uk/dir/2k/1921/127953425/1921_NFY106773_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127953425#/map?channel=RES_BUY,1028,401,222,82,705,FALSE,
288,700000,"New Barnet, Barnet, EN5",Semi-Detached,3,https://media.rightmove.co.uk/dir/50k/49431/96543262/49431_4502962_FLP_00_0000.png,https://www.rightmove.co.uk/properties/96543262#/map?channel=RES_BUY,1249,531.5,93,82,706.5,FALSE,560.4483587
289,499950,"Gresham Road, London, NW10",Cottage,3,https://media.rightmove.co.uk/dir/195k/194876/124438094/194876_803_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/124438094#/map?channel=RES_BUY,0,100.5,524.5,82,707,TRUE,#DIV/0!
290,650000,"Oakhampton Road, Mill Hill East, NW7",Semi-Detached,3,https://media.rightmove.co.uk/dir/1k/595/128426699/595_WHS220386_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128426699#/map?channel=RES_BUY,1017,401,225,82,708,TRUE,639.1347099
291,650000,"Review Road, London, NW2",Terraced,3,https://media.rightmove.co.uk/dir/11k/10007/127101062/10007_25313984_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127101062#/map?channel=RES_BUY,1017,401,225,82,708,TRUE,639.1347099
292,575000,"Burnham Close, Mill Hill, London, NW7",Semi-Detached,3,https://media.rightmove.co.uk/dir/8k/7313/123370994/7313_MIH180115_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/123370994#/map?channel=RES_BUY,763,222.5,404,82,708.5,TRUE,753.604194
293,700000,"Waldegrave Road, London, N8",Terraced,3,https://media.rightmove.co.uk/dir/192k/191252/96576571/191252_PRI220099_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/96576571#/map?channel=RES_BUY,1244,531.5,95.5,82,709,FALSE,
294,630000,"Parkside Crescent, London",Terraced,3,https://media.rightmove.co.uk/dir/209k/208337/127555292/208337_Zryanel0000775082_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127555292#/map?channel=RES_BUY,949,337.5,290.5,82,710,FALSE,663.8566913
295,685000,"Farm Road, Winchmore Hill, N21",House,3,https://media.rightmove.co.uk/dir/79k/78755/127903937/78755_25449090_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127903937#/map?channel=RES_BUY,1139,485,144,82,711,FALSE,
296,365000,"Nelson Road, Enfield, EN3",Terraced,2,https://media.rightmove.co.uk/dir/94k/93001/121431014/93001_EEA220121_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/121431014#/map?channel=RES_BUY,946,2,293,418,713,FALSE,385.8350951
297,685000,"Higham Road, London, N17",Terraced,3,https://media.rightmove.co.uk/dir/37k/36308/126808100/36308_HAR220393_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126808100#/map?channel=RES_BUY,1130,485,148,82,715,FALSE,
298,500000,"West Ella Road, London",Maisonette,3,https://media.rightmove.co.uk/dir/12k/11607/124205531/11607_0222_HRT022210874_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/124205531#/map?channel=RES_BUY,0,114.5,524.5,82,721,FALSE,
299,500000,"North Circular Road, Palmers Green, London N13",Terraced,3,https://media.rightmove.co.uk/dir/10k/9316/85715178/9316_31567523_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/85715178#/map?channel=RES_BUY,0,114.5,524.5,82,721,FALSE,#DIV/0!
300,650000,"Vineyard Avenue, Mill Hill, London",Semi-Detached,3,https://media.rightmove.co.uk/dir/47k/46983/128647310/46983_31916361_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128647310#/map?channel=RES_BUY,1001,401,239,82,722,FALSE,649.3506494
301,650000,"Viceroy Close, East End Road N2",Semi-Detached,3,https://media.rightmove.co.uk/dir/138k/137693/85513131/137693_102397005665_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/85513131#/map?channel=RES_BUY,1000,401,240.5,82,723.5,FALSE,650
302,700000,"Sirdar Road, London, N22",Terraced,3,https://media.rightmove.co.uk/dir/25k/24398/128072816/24398_9722999_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128072816#/map?channel=RES_BUY,1207,531.5,112.5,82,726,FALSE,
303,650000,"Ellesmere Avenue, Mill Hill",Semi-Detached,3,https://media.rightmove.co.uk/dir/10k/9970/125534195/9970_31685329_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125534195#/map?channel=RES_BUY,998,401,243.5,82,726.5,FALSE,651.3026052
304,700000,"Victoria Avenue, Barnet, EN4",Terraced,3,https://media.rightmove.co.uk/dir/1k/581/127588604/581_AFH220183_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127588604#/map?channel=RES_BUY,1201,531.5,115.5,82,729,FALSE,582.847627
305,385000,"Sandhurst Road, Edmonton, N9",Terraced,2,https://media.rightmove.co.uk/dir/25k/24386/126994724/24386_11661834_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126994724#/map?channel=RES_BUY,929,6.5,308,418,732.5,FALSE,
306,400000,"Hythe Close, Edmonton, N18",Terraced,2,https://media.rightmove.co.uk/dir/7k/6550/85915788/6550_31860766_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/85915788#/map?channel=RES_BUY,938,18.5,297,418,733.5,FALSE,
307,620000,"Crescent Rise, New Barnet, EN4",House,3,https://media.rightmove.co.uk/dir/15k/14615/127674041/14615_31839181_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127674041#/map?channel=RES_BUY,866,304.5,347.5,82,734,FALSE,715.9353349
